prediction,ground_truth,anls_score,exact_match
cloudy,sunny,0.0,False
carrot,box,0.0,False
wire,wire,1.0,True
pink,pink,1.0,True
black and white,white,0.0,False
flowers,flower,0.8571428571428572,False
motorcycle,motorcycle,1.0,True
motorcycle,motorcycle,1.0,True
15,10,0.5,False
dog,dog,1.0,True
wii remote,game,0.0,False
rock,sky,0.0,False
talking,serving,0.0,False
back,front,0.0,False
egg,egg,1.0,True
flowers,cabinet,0.0,False
bird,fish,0.0,False
tv,tv,1.0,True
train station,train station,1.0,True
birthday,birthday,1.0,True
stop,stop,1.0,True
man,no one,0.0,False
refrigerator,refrigerator,1.0,True
chicken,pork,0.0,False
peppers,mushrooms,0.0,False
white,blue,0.0,False
jeans,jeans,1.0,True
baseball cap,beanie,0.0,False
soccer,polo,0.0,False
airplane,airplane,1.0,True
frisbee,frisbee,1.0,True
bed,bedroom,0.0,False
snowboard,nothing,0.0,False
woman,teddy bear,0.0,False
double decker,city,0.0,False
0,4,0.0,False
scissors,cutting,0.0,False
afternoon,morning,0.0,False
porcelain,porcelain,1.0,True
apple,orange,0.0,False
4,lot,0.0,False
coffee,coffee,1.0,True
red,brown and white,0.0,False
0,5,0.0,False
bike,bicycle,0.0,False
train,train,1.0,True
wood,plastic,0.0,False
zoo,giraffe,0.0,False
tv,tv,1.0,True
roman numerals,roman numerals,1.0,True
bathroom,bathroom,1.0,True
away,towards,0.0,False
plane,airplane,0.625,False
sign,tire,0.0,False
computer,computer,1.0,True
outside,outside,1.0,True
boat,light,0.0,False
elephant,elephant,1.0,True
field,field,1.0,True
tile,tile,1.0,True
many,0,0.0,False
clear,purple,0.0,False
fall,fall,1.0,True
bathroom,bathroom,1.0,True
sheep,sheep,1.0,True
ice cream,cake,0.0,False
fence,trees,0.0,False
dog,left,0.0,False
winter,winter,1.0,True
jump,jump,1.0,True
pizza,fruit,0.0,False
helmet,nothing,0.0,False
gray and white,tan,0.0,False
brown,brown,1.0,True
bike,bag,0.0,False
baseball,baseball,1.0,True
day,day,1.0,True
boston,washington,0.0,False
church,church,1.0,True
toilet,toilet,1.0,True
tie,necklace,0.0,False
umpire,helmet,0.0,False
small,large,0.0,False
blonde,brown,0.0,False
handle,handle,1.0,True
farm,outside,0.0,False
donuts,donuts,1.0,True
glass,glass,1.0,True
skateboard,skateboard,1.0,True
b,s,0.0,False
tan,brown,0.0,False
0,5,0.0,False
toothbrush,toothbrush,1.0,True
metal,wood,0.0,False
plaid,camo,0.0,False
night,afternoon,0.0,False
toothbrush,mirror,0.0,False
lettuce,peas,0.0,False
bat,ball,0.5,False
walking,riding,0.0,False
texting,texting,1.0,True
owner,owner,1.0,True
wood,grass,0.0,False
coffee,coffee,1.0,True
9,10,0.0,False
towel,handle,0.0,False
broccoli,vegetable,0.0,False
beach,beach,1.0,True
fire,fire,1.0,True
ring,ring,1.0,True
bananas,bananas,1.0,True
very,very,1.0,True
clock,love,0.0,False
park,park,1.0,True
dunkin donuts,dunkin donuts,1.0,True
calm,night,0.0,False
black and white,tan,0.0,False
dodgers,dodgers,1.0,True
left,neither,0.0,False
field,outside,0.0,False
cheese,veggie,0.0,False
round,round,1.0,True
baseball field,behind fence,0.0,False
tennis,tennis,1.0,True
summer,summer,1.0,True
woman,obama,0.0,False
water skiing,fun,0.0,False
kitchen,kitchen,1.0,True
lot,many,0.0,False
silver,blue,0.0,False
granite,metal,0.0,False
power lines,power lines,1.0,True
2,3,0.0,False
glass,ceramic,0.0,False
female,male,0.6666666666666667,False
3,40,0.0,False
purple,blue,0.0,False
cheese,cheese,1.0,True
graffiti,graffiti,1.0,True
kite,kites,0.8,False
orange,red and white,0.0,False
0,4,0.0,False
baseball cap,shirt,0.0,False
brown and white,brown,0.0,False
cookies,cake,0.0,False
usa,germany,0.0,False
plate,rack,0.0,False
left,south,0.0,False
rectangle,rectangle,1.0,True
apples,bowl,0.0,False
banana,banana,1.0,True
phone,phone,1.0,True
elephant,elephant,1.0,True
standing,giraffe,0.0,False
t,t,1.0,True
dog,dog,1.0,True
black and white,white and black,0.0,False
umbrellas,nothing,0.0,False
wheat,star,0.0,False
delta,delta,1.0,True
green,orange,0.0,False
electric,restaurant,0.0,False
spinach,olives,0.0,False
terrier,lab,0.0,False
male,female,0.6666666666666667,False
tile,wood,0.0,False
green,red,0.0,False
concrete,grass,0.0,False
snowboard,snowboard,1.0,True
laptop,keyboard,0.0,False
stop,yield,0.0,False
asian,african,0.5714285714285714,False
skateboarding,skateboarding,1.0,True
drywall,drywall,1.0,True
house,school,0.0,False
trash can,sink,0.0,False
fruit,fruit,1.0,True
table,wall,0.0,False
10,5,0.0,False
lamp,window,0.0,False
dell,apple,0.0,False
red and white,green,0.0,False
3,0,0.0,False
tan,white,0.0,False
jump,jump,1.0,True
umbrella,scarf,0.0,False
man,man,1.0,True
walking,standing,0.5,False
wine,papers,0.0,False
cat,cat,1.0,True
sheep,sheep,1.0,True
leaves,food,0.0,False
banana,banana,1.0,True
motorcycle,ground,0.0,False
laptop,mouse,0.0,False
banana,banana,1.0,True
floor,kitchen,0.0,False
male,male,1.0,True
grass,dirt,0.0,False
inside,inside,1.0,True
0,6,0.0,False
eating,eating,1.0,True
many,lot,0.0,False
rope,rope,1.0,True
man,skateboard,0.0,False
0,4,0.0,False
middle,ground,0.0,False
black and white,young,0.0,False
silver,white,0.0,False
9,14,0.0,False
tile,concrete,0.0,False
blue,gray,0.0,False
car,car,1.0,True
field,mountain,0.0,False
purple,purple,1.0,True
on counter,shelf,0.0,False
usa,usa,1.0,True
9,27,0.0,False
sand,sand,1.0,True
yellow and blue,blue and yellow,0.0,False
donut,donut,1.0,True
20,40,0.5,False
wii,wii,1.0,True
many,many,1.0,True
airport,airport,1.0,True
truck,truck,1.0,True
p,p,1.0,True
grill,grill,1.0,True
green,yellow,0.0,False
winter,winter,1.0,True
downhill,top,0.0,False
bird,weeds,0.0,False
gold,gold,1.0,True
laptop,laptop,1.0,True
skis,skis,1.0,True
scissors,scissors,1.0,True
soda,books,0.0,False
girl,girl,1.0,True
sunny,shade,0.0,False
train,wall,0.0,False
tennis court,grass,0.0,False
bench,fence,0.6,False
phone,purse,0.0,False
car,car,1.0,True
motorcycles,motorcycles,1.0,True
shallow,shallow,1.0,True
small,not possible,0.0,False
train,glass,0.0,False
orange,blue,0.0,False
broccoli,broccoli,1.0,True
wheat,wheat,1.0,True
downhill,downhill,1.0,True
flying,flying,1.0,True
umbrella,sunglasses,0.0,False
stop,stop,1.0,True
blue and white,white and blue,0.0,False
lettuce,lettuce,1.0,True
flying,flying,1.0,True
brick,wood,0.0,False
horse,field,0.0,False
cake,cake,1.0,True
short,long,0.0,False
many,1,0.0,False
left,middle,0.0,False
snow,snow,1.0,True
africa,africa,1.0,True
leather,cloth,0.0,False
soccer ball,ball,0.0,False
chair,shoes,0.0,False
playing tennis,hit ball,0.0,False
floor,floor,1.0,True
giraffe,left,0.0,False
keyboard,keyboard,1.0,True
10,22,0.0,False
tile,tile,1.0,True
donuts,ice cream,0.0,False
female,female,1.0,True
visor,visor,1.0,True
down,left,0.0,False
birds,bird,0.8,False
red,red and blue,0.0,False
mustard,mustard,1.0,True
old,old,1.0,True
suitcase,clothing,0.0,False
birds,nothing,0.0,False
afternoon,afternoon,1.0,True
9,40,0.0,False
cloudy,rainy,0.0,False
birthday,birthday,1.0,True
man,man,1.0,True
10,many,0.0,False
white and green,green,0.0,False
downtown,road,0.0,False
female,female,1.0,True
gas,gas,1.0,True
terrier,german shepherd,0.0,False
1,7,0.0,False
library,library,1.0,True
playing wii,playing wii,1.0,True
playing wii,playing wii,1.0,True
counter,on right,0.0,False
cold,cold,1.0,True
skateboard,microphone,0.0,False
empty,empty,1.0,True
bike,sidewalk,0.0,False
blue and white,red and white,0.7142857142857143,False
adult,adult,1.0,True
talking on phone,talking on phone,1.0,True
woman,girl,0.0,False
bow tie,vest,0.0,False
tv,tv,1.0,True
winter,winter,1.0,True
nothing,stripes,0.0,False
many,many,1.0,True
bedroom,bedroom,1.0,True
bike,bike,1.0,True
couch,lights,0.0,False
kitchen,kitchen,1.0,True
apple,apple,1.0,True
tennis,tennis,1.0,True
england,france,0.0,False
beer,beer,1.0,True
donuts,donuts,1.0,True
snow,snow,1.0,True
ski poles,ski pole,0.8888888888888888,False
apple,fruit,0.0,False
wii controller,wii remote,0.0,False
man,man,1.0,True
luggage,traveling,0.0,False
9,20,0.0,False
night,day,0.0,False
teddy bear,heart,0.0,False
8,4,0.0,False
bedroom,living room,0.0,False
orange,orange,1.0,True
wii,wii,1.0,True
10,5,0.0,False
banana,banana,1.0,True
afternoon,daytime,0.0,False
sandals,sandals,1.0,True
sandwich,meat,0.0,False
cows,cows,1.0,True
standing,looking,0.0,False
road,bus,0.0,False
chair,table,0.0,False
many,20,0.0,False
tennis,sign,0.0,False
house,stone,0.0,False
stop,go,0.0,False
sidewalk,sidewalk,1.0,True
tennis ball,tennis ball,1.0,True
rain,wet,0.0,False
flip flops,flip flops,1.0,True
bread,bread,1.0,True
fries,fries,1.0,True
tulips,real,0.0,False
milk,grass,0.0,False
church,church,1.0,True
sitting,sleeping,0.5,False
birds,ducks,0.0,False
skateboarding,skateboarding,1.0,True
woman,friend,0.0,False
table,outside,0.0,False
vanilla,vanilla,1.0,True
black and white,black and white,1.0,True
plane,plane,1.0,True
daytime,daytime,1.0,True
bus,bus,1.0,True
woman,man,0.6,False
clear,white,0.0,False
cat,cat,1.0,True
overcast,overcast,1.0,True
big,big,1.0,True
soccer,soccer,1.0,True
skis,skis,1.0,True
oak,grass,0.0,False
left,left,1.0,True
plane,grass,0.0,False
picture,picture,1.0,True
surfing,surfing,1.0,True
beach,beach,1.0,True
20,55,0.0,False
window,window,1.0,True
bike,basket,0.5,False
surfboard,surfboard,1.0,True
zoo,zoo,1.0,True
apples,apples,1.0,True
skateboarding,riding,0.0,False
10,7,0.0,False
small,dirty,0.0,False
elephant,elephant,1.0,True
train,train,1.0,True
ground,right,0.0,False
tile,ceramic,0.0,False
snowboarder,middle,0.0,False
1,1,1.0,True
roman numerals,roman,0.0,False
yellow and blue,yellow,0.0,False
bedroom,bedroom,1.0,True
siamese,siamese,1.0,True
2,6,0.0,False
kitchen,home,0.0,False
flowers,butterfly,0.0,False
young,young,1.0,True
pink,pink,1.0,True
glass,glass,1.0,True
dogs,dogs,1.0,True
bathroom,bathroom,1.0,True
tree,grass,0.0,False
rainbow,yellow,0.0,False
fries,parsley,0.0,False
taking off,pilot,0.0,False
beach,beach,1.0,True
summer,summer,1.0,True
happy,smiling,0.0,False
paper,right,0.0,False
book,book,1.0,True
calm,dirty,0.0,False
8,20,0.0,False
beach,beach,1.0,True
heart,bear,0.6,False
table,light,0.0,False
motorcycles,books,0.0,False
sink,sink,1.0,True
phone,shirt,0.0,False
0,9,0.0,False
woman,man,0.6,False
0,3,0.0,False
reading,reading,1.0,True
old,old,1.0,True
9,5,0.0,False
wedding,wedding,1.0,True
tag,hair,0.0,False
sunny,overcast,0.0,False
kites,kite,0.8,False
horse,horse,1.0,True
coca cola,samsung,0.0,False
outside,vases,0.0,False
afternoon,afternoon,1.0,True
window,floor,0.0,False
black and white,black and white,1.0,True
skateboarding,skateboarding,1.0,True
bed,on table,0.0,False
grass,water,0.0,False
white,green,0.0,False
bathroom,bathroom,1.0,True
surfboard,surfboard,1.0,True
9,18,0.0,False
ice cream,camera,0.0,False
right,right,1.0,True
1,1,1.0,True
sunny,hot,0.0,False
dog,dog,1.0,True
clothes,clothing,0.625,False
blue and white,red and white,0.7142857142857143,False
round,oval,0.0,False
refrigerator,chair,0.0,False
beach,beach,1.0,True
mountain,snow,0.0,False
silver,black,0.0,False
bedroom,bedroom,1.0,True
motorcycle,motorcycle,1.0,True
white,camo,0.0,False
a,t,0.0,False
cows,cows,1.0,True
ceramic,flat,0.0,False
lettuce,lettuce,1.0,True
bathroom,bathroom,1.0,True
purple,pink,0.0,False
blue,brown,0.0,False
cat,cat,1.0,True
phone,time,0.0,False
baseball,baseball,1.0,True
day,day,1.0,True
outside,inside,0.5714285714285714,False
bed,bed,1.0,True
grass,sand,0.0,False
milk,zebra,0.0,False
it 's not,parade,0.0,False
wine,coffee,0.0,False
fish,water,0.0,False
snowboarding,snowboarding,1.0,True
harley,harley,1.0,True
clear,silver,0.0,False
pink,white,0.0,False
vegetables,meat,0.0,False
0,6,0.0,False
truck,hill,0.0,False
downtown,school,0.0,False
banana,potatoes,0.0,False
living room,living room,1.0,True
rectangle,diamond,0.0,False
rain,car,0.0,False
floor,bedroom,0.0,False
pizza,pizza,1.0,True
giraffe,branch,0.0,False
bat,gloves,0.0,False
taking off,landing,0.0,False
cutting board,butter,0.0,False
mustard,mustard,1.0,True
on grass,runway,0.0,False
bridge,building,0.0,False
horse,horse,1.0,True
train,train,1.0,True
apple,dell,0.0,False
suitcase,suitcase,1.0,True
brick,fence,0.0,False
new york,private,0.0,False
right,toward,0.0,False
dogs,dogs,1.0,True
winter,winter,1.0,True
many,many,1.0,True
hat,hat,1.0,True
vegetables,chicken,0.0,False
banana,banana,1.0,True
grass,grass,1.0,True
refrigerator,cabinet,0.0,False
clear,white and blue,0.0,False
on wall,parked,0.0,False
cooking,cooking,1.0,True
pizza,pizza,1.0,True
2016,2013,0.75,False
in air,ground,0.0,False
spoon,spoon,1.0,True
kitten,kitten,1.0,True
7,2,0.0,False
flag,church,0.0,False
umbrella,basket,0.0,False
elephant,elephant,1.0,True
front,on,0.0,False
metal,metal,1.0,True
frisbee,frisbee,1.0,True
snow,snow,1.0,True
rock,rock,1.0,True
apple,apple,1.0,True
table,table,1.0,True
frisbee,frisbee,1.0,True
fall,fall,1.0,True
female,female,1.0,True
wii,wii,1.0,True
clear,red,0.0,False
orange,yellow,0.0,False
wilson,wilson,1.0,True
tennis,tennis,1.0,True
0,13,0.0,False
10:20,10:20,1.0,True
left,right,0.0,False
laptop,laptop,1.0,True
13,9,0.0,False
bananas,tree,0.0,False
red,white,0.0,False
standing,walking,0.5,False
donut,donut,1.0,True
flying kite,flying kite,1.0,True
gray,pink,0.0,False
cow,cow,1.0,True
zebras,zebras,1.0,True
tv,tv,1.0,True
broccoli,noodles,0.0,False
london,downtown,0.5,False
brick,metal,0.0,False
kite,bag,0.0,False
helmet,snowboards,0.0,False
9,44,0.0,False
black and white,gray and white,0.7333333333333334,False
park,park,1.0,True
apple,apple,1.0,True
round,round,1.0,True
clay,clay,1.0,True
bun,paper,0.0,False
hot dogs,steak,0.0,False
sunny,sunny,1.0,True
camera,camera,1.0,True
living room,living room,1.0,True
safety,cold,0.0,False
couch,chair,0.0,False
balance,ski lift,0.0,False
9,1,0.0,False
boy,boy,1.0,True
computer,laptop,0.0,False
camera,camera,1.0,True
kites,kites,1.0,True
left,back,0.0,False
hat,hats,0.75,False
cat,cat,1.0,True
0,3,0.0,False
train,light,0.0,False
red,red,1.0,True
cat,kitten,0.0,False
skiing,skiing,1.0,True
dog,dog,1.0,True
chicken,chicken,1.0,True
tan,brown and white,0.0,False
krispy kreme,krispy kreme,1.0,True
lamp,lamp,1.0,True
shirt,shirt,1.0,True
warm,hot,0.0,False
skateboarding,skateboarding,1.0,True
kites,kites,1.0,True
walking,drinking,0.5,False
rectangle,circle,0.0,False
9,2,0.0,False
bananas,bananas,1.0,True
football,football,1.0,True
wetsuit,wetsuit,1.0,True
cheese,tomato,0.0,False
cold,cold,1.0,True
south,south,1.0,True
wine,wine,1.0,True
8,1,0.0,False
living room,living room,1.0,True
living room,living room,1.0,True
dog,dog,1.0,True
desk,book,0.0,False
office,office,1.0,True
teddy bear,elephant,0.0,False
water,beer,0.0,False
nike,nike,1.0,True
elephant,elephant,1.0,True
soap,towel,0.0,False
tie,tie,1.0,True
motorcycle,basket,0.0,False
skateboard,skateboard,1.0,True
london,city,0.0,False
apples,apples,1.0,True
tie,tie,1.0,True
toward,toward,1.0,True
on counter,on counter,1.0,True
ketchup,cheese,0.0,False
surfing,water,0.0,False
living room,wall,0.0,False
sheep,sheep,1.0,True
wine,beer,0.0,False
laptop,laptop,1.0,True
apple,dell,0.0,False
afternoon,afternoon,1.0,True
white,green,0.0,False
computer,time,0.0,False
baseball cap,beanie,0.0,False
bat,bat,1.0,True
calm,calm,1.0,True
egg,eggs,0.75,False
bat,bat,1.0,True
cutting board,right,0.0,False
london,ground,0.0,False
dog,dog,1.0,True
car,school,0.0,False
street,street,1.0,True
salad,cheese,0.0,False
dodgers,dodgers,1.0,True
no one,sunset,0.0,False
flowers,flowers,1.0,True
nighttime,nighttime,1.0,True
wii,wii,1.0,True
white,white,1.0,True
ski poles,ski pole,0.8888888888888888,False
bike,phone,0.0,False
bathroom,bathroom,1.0,True
brown and white,brown and white,1.0,True
stop,stop sign,0.0,False
beach,legs,0.0,False
sunglasses,sunglasses,1.0,True
baseball,baseball,1.0,True
chinese,chinese,1.0,True
china,canada,0.0,False
bear,bear,1.0,True
a,a,1.0,True
wilson,wilson,1.0,True
sandwich,american,0.0,False
happy,sad,0.0,False
bears,bears,1.0,True
kitchen,kitchen,1.0,True
grass,dirt,0.0,False
male,female,0.6666666666666667,False
brick,brick,1.0,True
0,14,0.0,False
american,american,1.0,True
table,on floor,0.0,False
bedroom,bedroom,1.0,True
pink,black,0.0,False
tracks,building,0.0,False
pitcher,pitcher,1.0,True
train,truck,0.0,False
umbrella,umbrella,1.0,True
skateboarding,skateboarding,1.0,True
bun,paper,0.0,False
1,3,0.0,False
plastic,metal,0.0,False
blonde,blonde,1.0,True
sign,tire,0.0,False
basket,on shelf,0.0,False
usa,india,0.0,False
3,8,0.0,False
elephant,elephant,1.0,True
clock,cumulus,0.0,False
birthday,birthday,1.0,True
skateboarding,skateboarding,1.0,True
girl,girl,1.0,True
bathroom,bathroom,1.0,True
man,boy,0.0,False
wii controllers,wii remote,0.0,False
black and white,white and black,0.0,False
gray,white,0.0,False
city,downtown,0.0,False
sunny,sunny,1.0,True
raining,shade,0.0,False
pizza,pizza,1.0,True
cows,cows,1.0,True
blue and white,many,0.0,False
woman,photographer,0.0,False
evening,afternoon,0.0,False
0,18,0.0,False
zebra,zebra,1.0,True
pine,pine,1.0,True
10,15,0.5,False
work,camera,0.0,False
sleeping,sitting,0.5,False
car,car,1.0,True
palm,palm,1.0,True
cumulus,white,0.0,False
pink,rainbow,0.0,False
glass,porcelain,0.0,False
cloudy,clear,0.0,False
grass,grass,1.0,True
hay,wire,0.0,False
phone,phone,1.0,True
cat,duck,0.0,False
up,10,0.0,False
baseball,baseball,1.0,True
baseball,baseball field,0.5714285714285714,False
10,8,0.0,False
orange,yellow,0.0,False
tile,tile,1.0,True
hat,boots,0.0,False
helmet,motorcycle,0.0,False
on wall,decoration,0.0,False
eating,eating,1.0,True
tennis racket,tennis racket,1.0,True
boy,boy,1.0,True
mountains,trees,0.0,False
pink,pink,1.0,True
right,camera,0.0,False
tusks,concrete,0.0,False
human,human,1.0,True
tennis,tennis,1.0,True
tennis court,tennis court,1.0,True
passenger,passenger,1.0,True
lights,candles,0.0,False
catching,catching,1.0,True
spanish,england,0.0,False
many,10,0.0,False
bear,bear,1.0,True
polar,polar,1.0,True
sitting,playing,0.0,False
clear,red,0.0,False
giraffe,giraffe,1.0,True
low,low,1.0,True
books,chair,0.0,False
spoon,watch,0.0,False
walking,walking,1.0,True
sunny,sunny,1.0,True
red,yellow,0.0,False
wilson,wilson,1.0,True
towel,towel,1.0,True
elephant,elephant,1.0,True
road,sidewalk,0.0,False
london,london,1.0,True
road,road,1.0,True
steam,smoke,0.0,False
playing tennis,serving,0.0,False
towel,towel,1.0,True
cooking,cutting,0.5714285714285714,False
water,trash,0.0,False
frisbee,frisbee,1.0,True
day,day,1.0,True
orange,silver,0.0,False
0,20,0.5,False
teddy bear,mask,0.0,False
yellow,yellow,1.0,True
donut,hands,0.0,False
grass,grass,1.0,True
ocean,surfboard,0.0,False
moving,parked,0.0,False
left,both,0.0,False
lot,bricks,0.0,False
9,25,0.0,False
phone,purse,0.0,False
food,meat,0.0,False
surfboard,string,0.0,False
hat,hat,1.0,True
talking,talking on phone,0.0,False
kite,kite,1.0,True
50,16,0.0,False
pug,pug,1.0,True
elephant,elephant,1.0,True
blue and white,white,0.0,False
skateboarding,skateboarding,1.0,True
down,left,0.0,False
sprinkles,frosting,0.0,False
cheese,beef,0.0,False
owl,snowy,0.0,False
bed,pillow,0.0,False
toast,dessert,0.0,False
camera,camera,1.0,True
clock,lights,0.0,False
carpet,tile,0.0,False
tan,red,0.0,False
cows,cows,1.0,True
tusks,taxi,0.0,False
laptop,laptop,1.0,True
7,10,0.0,False
clean,clean,1.0,True
kia,kia,1.0,True
kitchen,kitchen,1.0,True
clock,light,0.0,False
nothing,dog,0.0,False
sandwich,sandwich,1.0,True
giraffe,giraffe,1.0,True
on table,wedding,0.0,False
stone,stone,1.0,True
mountains,mountain,0.8888888888888888,False
dell,map,0.0,False
snowboarding,snowboarding,1.0,True
snowboarding,snowboarding,1.0,True
hot dog,boy,0.0,False
small,fake,0.0,False
frisbee,ball,0.0,False
50,40,0.5,False
bus,bus,1.0,True
pizza,pizza,1.0,True
skiing,skiing,1.0,True
sunny,sunny,1.0,True
off,on,0.0,False
cumulus,white,0.0,False
parrot,parrot,1.0,True
bike,bike,1.0,True
beach,beach,1.0,True
20 feet,20,0.0,False
beef,chicken,0.0,False
carpet,carpet,1.0,True
wii,wii,1.0,True
many,100,0.0,False
glazed,donut,0.0,False
real,real,1.0,True
downtown,nowhere,0.0,False
gray,beige,0.0,False
roses,rose,0.8,False
girl,neither,0.0,False
stop,stop,1.0,True
left,right,0.0,False
broccoli,spinach,0.0,False
gray,black,0.0,False
banana,banana,1.0,True
watch,watch,1.0,True
cake,cake,1.0,True
surfboard,surfboard,1.0,True
motorcycle,motorcycle,1.0,True
giraffes,giraffes,1.0,True
grazing,grazing,1.0,True
plaid,stripes,0.0,False
spinach,tomatoes,0.0,False
left,left,1.0,True
drinking,drinking,1.0,True
counter,woman,0.0,False
0,0,1.0,True
pink,white,0.0,False
giraffe,giraffe,1.0,True
sunset,sunset,1.0,True
hat,hair,0.5,False
wii remote,remote,0.6,False
rectangle,circle,0.0,False
bedroom,bedroom,1.0,True
down,straight,0.0,False
7,6,0.0,False
gray,gray,1.0,True
watch,sunlight,0.0,False
skis,sunglasses,0.0,False
flowers,candles,0.0,False
picture,dresser,0.0,False
metal,metal,1.0,True
0,8,0.0,False
down,down,1.0,True
bathroom,bathroom,1.0,True
skateboarder,trees,0.0,False
tusks,bushes,0.5,False
magnets,blinds,0.0,False
walking,talking,0.8571428571428572,False
blue,red,0.0,False
banana,banana,1.0,True
mcdonald 's,mcdonald's,0.9090909090909091,False
on grass,field,0.0,False
gray,orange,0.0,False
chicken,bacon,0.0,False
skiing,snowboarding,0.0,False
man,man,1.0,True
moving,towards,0.0,False
silver,green,0.0,False
baby,baby,1.0,True
pine,oak,0.0,False
right,left,0.0,False
gray,black,0.0,False
elephant,elephant,1.0,True
sunny,sunny,1.0,True
marble,marble,1.0,True
octagon,diamond,0.0,False
toy,museum,0.0,False
beer,beer,1.0,True
sandals,nike,0.0,False
living room,living room,1.0,True
0,20,0.5,False
pizza,pizza,1.0,True
tennis ball,ball,0.0,False
wii,wii,1.0,True
polar,polar,1.0,True
0,5,0.0,False
living room,living room,1.0,True
banana,hat,0.0,False
2,4,0.0,False
washington,not very,0.0,False
sunny,clear,0.0,False
dress,dress,1.0,True
walking,running,0.0,False
male,male,1.0,True
motorcycle,motorcycle,1.0,True
night,nighttime,0.5555555555555556,False
building,tree,0.0,False
7,7,1.0,True
sandwich,sandwich,1.0,True
stop,stop,1.0,True
purple,purple,1.0,True
camera,trees,0.0,False
woman,girl,0.0,False
clear,blue and green,0.0,False
wine,wine,1.0,True
cake,candles,0.0,False
skiing,skiing,1.0,True
planes,planes,1.0,True
brick,brick,1.0,True
brown and white,white and black,0.0,False
many,13,0.0,False
apple,apple,1.0,True
red,yellow,0.0,False
baseball cap,baseball cap,1.0,True
summer,spring,0.0,False
ponytail,short,0.0,False
apartment,apartment,1.0,True
cat,cat,1.0,True
usa,germany,0.0,False
10,10,1.0,True
rectangle,square,0.0,False
gray,camouflage,0.0,False
bear,bear,1.0,True
tomato,tomato,1.0,True
hat,flip flops,0.0,False
lettuce,lettuce,1.0,True
pizza,pizza,1.0,True
down,down,1.0,True
table,rug,0.0,False
skateboard,skateboard,1.0,True
cake,candy,0.0,False
hot dogs,pig,0.0,False
table,ceiling,0.0,False
north,north,1.0,True
sandals,t shirt,0.0,False
truck,truck,1.0,True
bmw,bmw,1.0,True
brick,brick,1.0,True
summer,birthday,0.0,False
frisbee,frisbee,1.0,True
0,9,0.0,False
double decker,double decker,1.0,True
tan,red,0.0,False
wood,marble,0.0,False
blonde,blonde,1.0,True
carpet,carpet,1.0,True
dog,dog,1.0,True
phone,shade,0.0,False
0,5,0.0,False
forward,right,0.0,False
bridge,cars,0.0,False
bathroom,bathroom,1.0,True
cheese,veggie,0.0,False
building,building,1.0,True
left,left,1.0,True
snowboarder,man,0.0,False
usa,canada,0.0,False
china,china,1.0,True
salad,ketchup,0.0,False
hat,hat,1.0,True
surfing,surfing,1.0,True
broccoli,water,0.0,False
cat,cat,1.0,True
27,20,0.5,False
ground,ground,1.0,True
stop,stop,1.0,True
background,south,0.0,False
ball,ball,1.0,True
sidewalk,street,0.0,False
woman,woman,1.0,True
train,metal,0.0,False
spoon,fork,0.0,False
camera,camera,1.0,True
flying kite,flying kite,1.0,True
catcher,pitcher,0.7142857142857143,False
snow,train,0.0,False
sign,nothing,0.0,False
table,table,1.0,True
many,18,0.0,False
0,4,0.0,False
black and white,tan,0.0,False
horse,horse,1.0,True
left,down,0.0,False
girl,girl,1.0,True
nighttime,nighttime,1.0,True
tennis,tennis,1.0,True
surfboard,surfboard,1.0,True
grass,sheep,0.0,False
snow,skis,0.0,False
elephants,elephants,1.0,True
fall,summer,0.0,False
2,3,0.0,False
air canada,air canada,1.0,True
snow,trees,0.0,False
tile,granite,0.0,False
glove,glove,1.0,True
soccer ball,ball,0.0,False
cutting cake,cutting cake,1.0,True
zoo,zoo,1.0,True
bike,bike,1.0,True
yellow and blue,green and yellow,0.0,False
snowboarding,snowboarding,1.0,True
6,4,0.0,False
yellow,black,0.0,False
warm,warm,1.0,True
man,man,1.0,True
on desk,table,0.0,False
horse,horse,1.0,True
a,a,1.0,True
bus stop,transportation,0.0,False
baseball,baseball,1.0,True
tennis,tennis,1.0,True
floral,stripes,0.0,False
living room,living room,1.0,True
yellow and blue,blue and yellow,0.0,False
broccoli,broccoli,1.0,True
full,full,1.0,True
grass,rocks,0.0,False
white,white and green,0.0,False
park,outside,0.0,False
sitting,sitting,1.0,True
motorcycle,motorcycles,0.9090909090909091,False
bus,signs,0.0,False
12,11,0.5,False
teddy bears,bears,0.0,False
tile,tile,1.0,True
black and white,black and white,1.0,True
table,vase,0.0,False
skiing,skiing,1.0,True
tomato,parsley,0.0,False
scissors,scissors,1.0,True
cows,cows,1.0,True
apple,apple,1.0,True
pink,pink,1.0,True
donut,donut,1.0,True
1 foot,tall,0.0,False
bananas,eating,0.0,False
carrots,oranges,0.0,False
black,red,0.0,False
surfing,surfing,1.0,True
nothing,laptop,0.0,False
polar,polar,1.0,True
nike,nike,1.0,True
2,0,0.0,False
red and white,red and yellow,0.5714285714285714,False
yellow and red,yellow and red,1.0,True
toilet,water,0.0,False
dirt,dirt,1.0,True
train,train,1.0,True
parking,parking,1.0,True
on plate,on plate,1.0,True
male,male,1.0,True
tv,table,0.0,False
glove,football,0.0,False
ring,elephant,0.0,False
laptop,keyboard,0.0,False
on table,couch,0.0,False
carrot,carrot,1.0,True
table,shelf,0.0,False
soccer,soccer,1.0,True
